name,nutrient,amount
"Apples and Oranges Martini",Calories,2036kcal
"414SS Daiquiri",Calories,1552kcal
"Blueberry Infused Vodka LemonadeÂ ",Calories,1529kcal
"3 for a Dollar Special",Calories,1525kcal
"Chocolate Sin Cocktail",Calories,1511kcal
"Halloween Eyeball Jello Shots",Calories,1240kcal
"The Panem-anian Soother",Calories,1136kcal
"Blue Bulldog Margarita",Calories,1135kcal
"209 East Cocktail",Calories,1099kcal
"Fans Cocktail",Calories,1096kcal
Farthingale,Calories,1062kcal
"Strawberry Margarita Jello Shots",Calories,1058kcal
"Mae West Martini",Calories,998kcal
"Long Island Iced Tea infused Watermelon",Calories,968kcal
"Classic Hot Toddy",Calories,961kcal
"Sugar Syrup Cocktail Recipe",Calories,952kcal
"Wet Pussy Cocktail",Calories,871kcal
"Chewbacca Cocktail",Calories,814kcal
"A Very Berry Surprise",Calories,774kcal
"Dickheads Delight",Calories,741kcal
